epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,114.895,0.60088,0.52063,0.96511,0.95588,0.94231,0.98312,0.81305,0.67388,0.52595,1.03954,0.0007328,0.0007328,0.0007328
66,116.634,0.59099,0.49454,0.96596,0.97433,0.90385,0.98014,0.81161,0.67955,0.5314,1.02642,0.000713,0.000713,0.000713
67,118.355,0.54775,0.48974,0.9504,0.97909,0.90048,0.97834,0.78447,0.73762,0.51711,1.0485,0.0006932,0.0006932,0.0006932
68,120.068,0.59824,0.53272,0.96281,0.95519,0.96154,0.98445,0.81791,0.65429,0.47116,1.03555,0.0006734,0.0006734,0.0006734
69,121.792,0.58942,0.50294,0.96208,0.92892,0.96154,0.98146,0.82326,0.62097,0.46652,1.03292,0.0006536,0.0006536,0.0006536
70,123.514,0.55314,0.469,0.94409,0.92788,1,0.98593,0.81338,0.64836,0.48538,1.06133,0.0006338,0.0006338,0.0006338
71,125.238,0.55001,0.48226,0.94345,0.97879,0.92308,0.98799,0.80281,0.68963,0.48009,1.07613,0.000614,0.000614,0.000614
72,126.977,0.59588,0.49511,0.95872,0.91062,0.97962,0.98297,0.81813,0.61697,0.46967,1.04226,0.0005942,0.0005942,0.0005942
73,128.704,0.59953,0.49762,0.96887,0.92575,0.95917,0.98177,0.79759,0.66479,0.5036,1.04935,0.0005744,0.0005744,0.0005744
74,130.419,0.5994,0.49097,0.97325,0.97923,0.90688,0.98025,0.77997,0.6989,0.52703,1.07134,0.0005546,0.0005546,0.0005546
75,132.142,0.59171,0.49642,0.98062,0.95744,0.94231,0.98122,0.78728,0.68401,0.50061,1.04572,0.0005348,0.0005348,0.0005348
76,133.844,0.55444,0.48532,0.95283,0.96213,0.92308,0.98573,0.81102,0.63019,0.48052,1.01077,0.000515,0.000515,0.000515
77,135.581,0.57375,0.49074,0.95903,0.90873,0.95745,0.98201,0.83459,0.60897,0.48243,1.00006,0.0004952,0.0004952,0.0004952
78,137.332,0.56528,0.45931,0.97853,0.8943,0.97632,0.97646,0.83434,0.59055,0.46635,0.98555,0.0004754,0.0004754,0.0004754
79,139.075,0.55859,0.45951,0.94155,0.89437,0.977,0.97695,0.84639,0.57603,0.466,0.98894,0.0004556,0.0004556,0.0004556
80,140.825,0.53564,0.44739,0.93261,0.87952,0.98277,0.97679,0.86434,0.55654,0.45741,0.98168,0.0004358,0.0004358,0.0004358
81,142.597,0.57313,0.46925,0.97425,0.88073,0.99416,0.97693,0.84034,0.57416,0.44842,1.00232,0.000416,0.000416,0.000416
82,144.33,0.54626,0.46166,0.96518,0.95991,0.92085,0.98168,0.84367,0.54951,0.4375,1.00025,0.0003962,0.0003962,0.0003962
83,146.061,0.58176,0.48672,0.95641,0.93032,0.94231,0.98053,0.85622,0.55864,0.42914,1.0064,0.0003764,0.0003764,0.0003764
84,147.785,0.5378,0.46648,0.94366,0.95979,0.91819,0.98168,0.85101,0.55823,0.43699,0.99049,0.0003566,0.0003566,0.0003566
85,149.537,0.5061,0.43582,0.92897,0.95228,0.92308,0.98314,0.85566,0.52703,0.43212,0.97857,0.0003368,0.0003368,0.0003368
86,151.296,0.51808,0.44624,0.93061,0.98674,0.92308,0.98795,0.86019,0.54437,0.42876,0.98181,0.000317,0.000317,0.000317
87,153.031,0.5018,0.44223,0.93221,0.98625,0.92308,0.98873,0.867,0.5601,0.41466,0.98857,0.0002972,0.0002972,0.0002972
88,154.774,0.54291,0.4651,0.95933,0.91791,0.98077,0.98853,0.85496,0.56132,0.41983,0.99042,0.0002774,0.0002774,0.0002774
89,156.515,0.50384,0.44093,0.93189,0.94419,0.98077,0.98847,0.83912,0.63737,0.43532,1.04376,0.0002576,0.0002576,0.0002576
90,158.262,0.50952,0.45106,0.93618,0.94082,0.98077,0.98618,0.81978,0.67707,0.45415,1.07385,0.0002378,0.0002378,0.0002378
91,160.342,0.3761,0.45097,0.85579,0.95692,0.98077,0.98466,0.82259,0.67544,0.47464,1.07686,0.000218,0.000218,0.000218
92,162.116,0.34298,0.37558,0.85464,0.94119,0.98077,0.98373,0.81942,0.66329,0.45472,1.07681,0.0001982,0.0001982,0.0001982
93,163.825,0.34263,0.35589,0.85091,0.96223,0.97993,0.98426,0.82143,0.64396,0.4392,1.07127,0.0001784,0.0001784,0.0001784
94,165.527,0.33216,0.37267,0.85462,0.96061,0.98077,0.9842,0.84035,0.58221,0.43842,1.02891,0.0001586,0.0001586,0.0001586
95,167.265,0.3178,0.33694,0.83485,0.94111,0.98077,0.98317,0.85444,0.5543,0.434,1.02118,0.0001388,0.0001388,0.0001388
96,168.978,0.3403,0.35078,0.8539,0.93795,0.98077,0.98213,0.86383,0.5434,0.4259,1.0159,0.000119,0.000119,0.000119
97,170.71,0.34569,0.33823,0.83684,0.92456,0.98077,0.98079,0.85369,0.54208,0.42078,1.01876,9.92e-05,9.92e-05,9.92e-05
98,172.43,0.3448,0.33503,0.84446,0.9406,0.98077,0.98311,0.85689,0.53854,0.41898,1.02052,7.94e-05,7.94e-05,7.94e-05
99,174.14,0.35234,0.33788,0.84902,0.94109,1,0.99107,0.85609,0.54137,0.42246,1.02478,5.96e-05,5.96e-05,5.96e-05
100,175.87,0.33811,0.32051,0.84704,0.93357,1,0.98996,0.8544,0.54647,0.42727,1.02797,3.98e-05,3.98e-05,3.98e-05
